[1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 53, 39, 63, 67, 84, 38, 29, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 47, 99, 70, 40, 13, 2, 45, 28, 33, 82, 54, 11, 26, 85, 34, 19, 56, 6, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[2, 13, 40, 70, 99, 47, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 29, 38, 84, 67, 63, 39, 53, 1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 45, 28, 33, 82, 54, 11, 26, 85, 34, 19, 56, 6, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[3, 64, 65, 69, 87, 15, 21, 93, 98, 35, 37, 23, 17, 78, 52, 18, 74, 91, 7, 42, 61, 59, 76, 50, 86, 8, 6, 56, 19, 34, 85, 26, 11, 54, 82, 33, 28, 45, 2, 13, 40, 70, 99, 47, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 29, 38, 84, 67, 63, 39, 53, 1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 96, 55, 79, 30, 88, 41, 25]
[4, 51, 77, 95, 29, 38, 84, 67, 63, 39, 53, 1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 36, 32, 75, 12, 94, 81, 47, 99, 70, 40, 13, 2, 45, 28, 33, 82, 54, 11, 26, 85, 34, 19, 56, 6, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[5, 62, 0, 48, 89, 9, 83, 71, 20, 73, 58, 16, 14, 10, 31, 90, 97, 22, 44, 46, 92, 27, 66, 57, 60, 24, 80, 68, 72, 49, 43, 1, 53, 39, 63, 67, 84, 38, 29, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 47, 99, 70, 40, 13, 2, 45, 28, 33, 82, 54, 11, 26, 85, 34, 19, 56, 6, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[6, 56, 19, 34, 85, 26, 11, 54, 82, 33, 28, 45, 2, 13, 40, 70, 99, 47, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 29, 38, 84, 67, 63, 39, 53, 1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[7, 42, 61, 59, 76, 50, 86, 8, 6, 56, 19, 34, 85, 26, 11, 54, 82, 33, 28, 45, 2, 13, 40, 70, 99, 47, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 29, 38, 84, 67, 63, 39, 53, 1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[8, 6, 56, 19, 34, 85, 26, 11, 54, 82, 33, 28, 45, 2, 13, 40, 70, 99, 47, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 29, 38, 84, 67, 63, 39, 53, 1, 43, 49, 72, 68, 80, 24, 60, 57, 66, 27, 92, 46, 44, 22, 97, 90, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[9, 89, 48, 5, 62, 0, 83, 71, 20, 73, 58, 16, 14, 10, 31, 90, 97, 22, 44, 46, 92, 27, 66, 57, 60, 24, 80, 68, 72, 49, 43, 1, 53, 39, 63, 67, 84, 38, 29, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 47, 99, 70, 40, 13, 2, 45, 28, 33, 82, 54, 11, 26, 85, 34, 19, 56, 6, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
[10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 0, 31, 90, 97, 22, 44, 46, 92, 27, 66, 57, 60, 24, 80, 68, 72, 49, 43, 1, 53, 39, 63, 67, 84, 38, 29, 95, 77, 51, 4, 36, 32, 75, 12, 94, 81, 47, 99, 70, 40, 13, 2, 45, 28, 33, 82, 54, 11, 26, 85, 34, 19, 56, 6, 8, 86, 50, 76, 59, 61, 42, 7, 91, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 21, 15, 87, 69, 65, 64, 3, 96, 55, 79, 30, 88, 41, 25]
